cliente_id,idade,renda_familiar,regiao,escolaridade,tem_negocio_proprio,score_credito,data_cadastro,usa_orientacao_financeira,perfil
26,46,1316.67,Zona Leste,Médio,True,606,2024-04-13,True,C2
27,27,2505.02,Zona Sul,Médio,True,515,2024-07-30,False,B2
28,50,2601.26,Zona Sul,Superior,True,566,2024-07-13,True,B2
29,40,1177.21,Zona Leste,Médio,True,449,2024-05-30,False,C2
30,28,1082.61,Zona Sul,Superior,True,506,2024-08-16,True,C2
31,34,4488.64,Zona Norte,Médio,False,404,2024-06-29,True,B2
32,34,1222.27,Baixada,Técnico,False,455,2024-11-23,False,C2
33,29,1289.31,Zona Oeste,Técnico,False,504,2024-04-16,True,C2
34,43,1460.89,Baixada,Fundamental,True,616,2024-05-25,True,C2
35,25,7128.22,Zona Leste,Fundamental,True,675,2024-02-05,True,A1
36,29,4250.98,Zona Leste,Superior,True,454,2024-12-15,True,B2
37,42,3103.17,Zona Leste,Fundamental,True,520,2024-07-05,True,B2
38,38,4100.36,Zona Sul,Fundamental,False,493,2024-04-19,True,B2
39,50,2302.54,Grande ABC,Médio,False,459,2024-01-30,False,C2
40,41,2808.42,Zona Leste,Superior,False,606,2024-03-11,True,B2
41,34,2479.88,Zona Norte,Médio,False,517,2024-02-26,False,C2
42,40,5742.26,Zona Sul,Médio,False,349,2024-04-15,True,A3
43,38,2093.19,Zona Leste,Médio,False,658,2024-04-29,True,C1
44,31,2454.02,Zona Norte,Médio,False,601,2024-09-18,False,C2
45,40,3061.05,Zona Leste,Médio,False,478,2024-10-28,True,B2
46,45,2511.03,Zona Leste,Superior,True,664,2024-08-23,False,B1
47,41,1152.06,Grande ABC,Superior,False,565,2024-06-19,True,C2
48,45,2805.36,Zona Norte,Médio,False,630,2024-09-11,True,B2
49,35,1432.46,Zona Leste,Fundamental,True,493,2024-09-27,True,C2
50,35,854.02,Zona Leste,Médio,True,457,2024-03-20,True,C2
51,36,3161.71,Zona Sul,Superior,True,383,2024-09-16,True,B3
52,34,2349.79,Zona Sul,Médio,False,613,2024-04-30,True,C2
53,53,3090.34,Zona Sul,Fundamental,False,554,2024-03-25,False,B2
54,38,2014.47,Zona Norte,Médio,False,514,2024-09-17,True,C2
55,27,7367.97,Zona Norte,Médio,False,530,2024-05-01,True,A2
56,27,5398.18,Zona Leste,Médio,False,479,2024-08-01,True,A2
57,30,1025.69,Zona Sul,Técnico,False,651,2024-07-18,True,C1
58,41,3533.48,Zona Leste,Médio,False,497,2024-10-21,True,B2
59,47,3422.75,Zona Norte,Fundamental,True,598,2024-01-12,True,B2
60,42,3157.43,Zona Leste,Médio,False,559,2024-04-17,True,B2
61,36,2052.81,Zona Sul,Fundamental,False,419,2024-05-28,False,C2
62,36,1679.21,Zona Norte,Superior,False,607,2024-05-09,False,C2
63,25,5224.41,Zona Oeste,Médio,False,534,2024-06-17,True,A2
64,44,2941.83,Zona Sul,Fundamental,True,616,2024-04-24,False,B2
65,34,3712.23,Zona Leste,Fundamental,False,688,2024-06-06,True,B1
66,33,3964.98,Zona Norte,Fundamental,False,557,2024-07-17,False,B2
67,41,2338.67,Zona Leste,Superior,True,490,2024-02-07,True,C2
68,33,2146.3,Baixada,Médio,True,510,2024-08-27,True,C2
69,44,2338.79,Zona Norte,Fundamental,False,527,2024-08-20,True,C2
70,26,2550.76,Baixada,Médio,False,543,2024-10-11,False,B2
71,47,1787.0,Zona Sul,Médio,False,571,2024-03-16,True,C2
72,52,2353.14,Zona Sul,Médio,True,607,2024-08-17,True,C2
73,39,5295.26,Zona Leste,Superior,True,589,2024-10-18,True,A2
74,28,4603.29,Zona Norte,Superior,False,519,2024-09-13,True,B2
75,42,4170.97,Zona Sul,Fundamental,False,491,2024-06-17,False,B2
76,46,2289.78,Zona Norte,Médio,False,572,2024-07-08,True,C2
77,35,4564.11,Grande ABC,Médio,False,581,2024-08-04,True,B2
78,31,2422.79,Zona Sul,Fundamental,False,538,2024-12-12,True,C2
79,27,1942.12,Zona Norte,Fundamental,False,544,2024-05-13,True,C2
80,48,1830.48,Zona Sul,Fundamental,True,520,2024-02-10,True,C2
81,27,3619.32,Grande ABC,Técnico,True,594,2024-09-11,True,B2
82,45,2191.69,Zona Oeste,Médio,False,547,2024-05-24,False,C2
83,38,2252.2,Zona Norte,Superior,True,521,2024-05-29,True,C2
84,48,3098.22,Zona Leste,Médio,True,467,2024-01-18,True,B2
85,31,2278.69,Zona Oeste,Médio,True,609,2024-12-07,False,C2
86,43,1270.98,Zona Oeste,Médio,True,580,2024-06-02,True,C2
87,30,1252.34,Zona Oeste,Fundamental,False,679,2024-11-15,False,C1
88,44,2968.54,Zona Sul,Fundamental,True,534,2024-10-11,True,B2
89,34,3436.96,Zona Oeste,Fundamental,False,570,2024-12-08,True,B2
90,36,914.9,Grande ABC,Fundamental,False,533,2024-08-13,True,C2
91,40,2012.17,Zona Leste,Médio,True,375,2024-01-14,False,C3
92,50,2551.9,Zona Sul,Fundamental,True,597,2024-09-26,False,B2
93,36,3094.21,Zona Norte,Fundamental,True,508,2024-08-19,False,B2
94,44,1482.9,Zona Oeste,Médio,False,534,2024-09-05,True,C2
95,45,2426.71,Zona Leste,Superior,True,519,2024-12-11,True,C2
96,48,1341.26,Zona Leste,Fundamental,False,556,2024-01-31,True,C2
97,44,3139.65,Zona Sul,Fundamental,False,568,2024-01-01,True,B2
98,26,2615.06,Baixada,Médio,False,376,2024-03-28,True,B3
99,25,2122.91,Zona Leste,Fundamental,False,629,2024-01-01,True,C2
100,36,4609.41,Grande ABC,Médio,False,534,2024-06-20,False,B2
101,41,3012.88,Zona Norte,Médio,False,509,2024-11-18,False,B2
102,40,3892.81,Baixada,Médio,False,471,2024-04-13,True,B2
103,42,3307.76,Zona Oeste,Técnico,False,447,2024-04-10,False,B2
104,46,875.9,Zona Leste,Médio,True,484,2024-05-14,True,C2
105,32,3473.17,Zona Leste,Médio,False,564,2024-01-01,True,B2
106,43,1929.16,Zona Norte,Fundamental,True,680,2024-11-08,True,C1
107,44,3223.96,Grande ABC,Fundamental,True,525,2024-06-26,True,B2
108,47,2014.77,Zona Leste,Médio,True,462,2024-11-19,True,C2
109,38,2123.56,Zona Norte,Superior,True,516,2024-03-06,True,C2
110,39,1103.83,Zona Oeste,Superior,True,514,2024-09-10,True,C2
111,33,2475.55,Zona Norte,Superior,True,452,2024-04-29,False,C2
112,35,3045.0,Zona Sul,Fundamental,False,544,2024-02-23,True,B2
113,39,2650.7,Grande ABC,Médio,False,572,2024-05-24,True,B2
114,44,2027.31,Zona Leste,Médio,False,449,2024-04-04,True,C2
115,25,2626.76,Zona Sul,Técnico,False,424,2024-10-28,True,B2
116,42,2129.77,Zona Norte,Superior,False,502,2024-07-17,True,C2
117,34,2207.45,Zona Leste,Fundamental,True,535,2024-03-07,False,C2
118,29,2367.92,Zona Sul,Médio,False,587,2024-12-23,False,C2
119,48,1724.48,Zona Sul,Fundamental,False,501,2024-08-03,False,C2
120,46,1050.35,Zona Sul,Superior,True,407,2024-04-22,False,C2
121,51,1619.08,Zona Leste,Superior,False,522,2024-07-14,True,C2
122,32,2970.13,Zona Oeste,Médio,False,438,2024-12-07,False,B2
123,40,3611.24,Grande ABC,Médio,False,470,2024-10-08,True,B2
124,49,1607.06,Zona Leste,Técnico,False,527,2024-05-05,False,C2
125,45,2991.68,Zona Norte,Superior,True,582,2024-07-15,False,B2
126,29,2301.68,Zona Leste,Médio,True,591,2024-08-12,True,C2
127,26,2501.23,Zona Leste,Fundamental,False,552,2024-08-15,True,B2
128,30,1571.11,Zona Oeste,Médio,False,519,2024-06-26,False,C2
129,51,800.0,Zona Sul,Médio,True,426,2024-11-18,True,C2
130,37,3860.7,Grande ABC,Técnico,True,617,2024-02-12,True,B2
131,43,8000.0,Zona Norte,Técnico,True,476,2024-04-02,False,A2
132,37,1757.72,Zona Leste,Fundamental,False,591,2024-02-04,True,C2
133,37,4460.45,Zona Leste,Fundamental,True,432,2024-06-17,True,B2
134,42,1751.13,Zona Leste,Médio,False,500,2024-09-25,False,C2
135,26,5353.87,Zona Norte,Médio,False,523,2024-01-15,False,A2
136,39,3114.17,Zona Norte,Fundamental,True,457,2024-09-28,True,B2
137,44,3523.74,Zona Leste,Médio,False,589,2024-02-01,True,B2
138,37,1557.98,Zona Sul,Médio,False,607,2024-05-28,False,C2
139,46,1625.09,Zona Norte,Médio,True,527,2024-12-25,True,C2
140,36,4712.19,Zona Sul,Médio,False,588,2024-10-20,True,B2
141,35,1516.56,Zona Sul,Médio,True,473,2024-05-07,False,C2
142,28,2359.57,Grande ABC,Médio,True,589,2024-01-17,True,C2
143,39,6322.71,Zona Leste,Fundamental,False,442,2024-08-19,False,A2
144,50,2293.28,Zona Norte,Médio,False,505,2024-06-20,False,C2
145,36,2010.38,Zona Norte,Médio,False,590,2024-12-27,False,C2
146,34,2712.61,Zona Oeste,Superior,True,545,2024-07-10,True,B2
147,27,1448.9,Zona Oeste,Fundamental,True,632,2024-09-28,False,C2
148,44,1571.14,Zona Leste,Médio,False,603,2024-02-06,False,C2
149,25,3221.21,Zona Leste,Médio,False,598,2024-09-04,True,B2
150,42,2310.64,Zona Norte,Fundamental,False,439,2024-03-01,False,C2
151,26,1645.55,Zona Sul,Fundamental,False,535,2024-04-02,True,C2
152,29,2915.06,Grande ABC,Técnico,True,544,2024-12-26,False,B2
153,41,1970.76,Zona Norte,Superior,True,514,2024-05-01,False,C2
154,48,2132.09,Baixada,Fundamental,True,474,2024-06-24,False,C2
155,48,1802.86,Zona Sul,Fundamental,True,505,2024-02-08,False,C2
156,42,1658.62,Zona Norte,Médio,False,515,2024-08-23,True,C2
157,46,2093.6,Zona Norte,Médio,False,399,2024-06-28,True,C3
158,48,2663.56,Zona Norte,Fundamental,False,486,2024-10-27,True,B2
159,42,1213.14,Zona Leste,Médio,False,494,2024-12-29,True,C2
160,39,3574.34,Zona Leste,Fundamental,True,616,2024-02-02,True,B2
161,36,1247.5,Zona Oeste,Fundamental,False,522,2024-01-15,True,C2
162,43,2607.62,Zona Norte,Médio,False,634,2024-04-03,False,B2
163,25,2666.42,Zona Norte,Médio,True,512,2024-08-30,True,B2
164,38,5573.05,Zona Norte,Médio,True,414,2024-01-25,True,A2
165,29,1795.47,Zona Norte,Fundamental,True,401,2024-06-07,False,C2
166,32,1002.26,Zona Norte,Técnico,True,508,2024-03-31,True,C2
167,42,1901.42,Zona Leste,Médio,False,472,2024-09-11,True,C2
168,44,3712.22,Zona Sul,Médio,False,563,2024-01-12,True,B2
169,38,5267.54,Zona Norte,Superior,False,530,2024-09-08,False,A2
170,36,3846.89,Zona Leste,Fundamental,False,535,2024-05-01,False,B2
171,33,4062.41,Zona Sul,Médio,False,510,2024-03-16,True,B2
172,34,2801.8,Zona Sul,Médio,False,536,2024-05-19,False,B2
173,53,800.0,Zona Oeste,Fundamental,False,557,2024-04-30,False,C2
174,27,3499.3,Baixada,Médio,False,464,2024-06-21,False,B2
175,43,4862.38,Zona Sul,Superior,True,573,2024-01-14,True,B2
176,32,2987.66,Zona Leste,Médio,False,570,2024-05-07,True,B2
177,33,6323.58,Zona Sul,Fundamental,True,577,2024-09-04,True,A2
178,53,2755.81,Zona Leste,Fundamental,False,506,2024-11-26,False,B2
179,47,1493.47,Zona Leste,Superior,False,578,2024-02-04,False,C2
180,29,1466.31,Zona Leste,Médio,True,466,2024-06-02,True,C2
181,33,3627.8,Zona Norte,Médio,False,533,2024-01-18,True,B2
182,32,2529.56,Zona Leste,Fundamental,False,540,2024-03-25,True,B2
183,43,2946.79,Zona Oeste,Técnico,False,518,2024-09-30,True,B2
184,36,3679.92,Zona Oeste,Médio,True,423,2024-01-18,False,B2
185,32,5481.33,Zona Oeste,Médio,False,601,2024-02-24,False,A2
186,43,2240.75,Zona Sul,Fundamental,True,475,2024-11-30,True,C2
187,40,2706.43,Zona Sul,Superior,False,619,2024-04-14,False,B2
188,42,2370.72,Zona Sul,Superior,False,303,2024-12-07,False,C3
189,35,3198.16,Zona Sul,Superior,False,501,2024-02-01,False,B2
190,37,2185.36,Zona Sul,Superior,False,481,2024-01-05,False,C2
191,28,1402.37,Zona Norte,Médio,True,507,2024-01-09,True,C2
192,36,3204.55,Zona Norte,Técnico,True,482,2024-10-18,False,B2
193,39,1356.3,Zona Leste,Médio,False,430,2024-03-14,True,C2
194,44,1143.98,Baixada,Fundamental,False,579,2024-05-05,False,C2
195,37,3323.25,Zona Norte,Técnico,False,685,2024-04-04,True,B1
196,47,1743.94,Zona Leste,Fundamental,True,567,2024-12-25,True,C2
197,42,2790.47,Zona Norte,Médio,True,594,2024-05-12,True,B2
198,30,5109.37,Grande ABC,Médio,False,488,2024-01-13,True,A2
199,48,1126.69,Baixada,Médio,False,492,2024-03-04,False,C2
200,43,2177.28,Zona Leste,Médio,False,409,2024-02-01,False,C2
201,41,982.95,Zona Leste,Técnico,True,613,2024-02-04,True,C2
202,37,1442.46,Grande ABC,Fundamental,True,514,2024-09-25,False,C2
203,33,1863.3,Zona Norte,Médio,False,572,2024-03-26,False,C2
204,52,1788.96,Zona Leste,Médio,False,615,2024-01-16,False,C2
205,36,4534.64,Zona Leste,Fundamental,True,546,2024-03-07,True,B2
206,42,2147.71,Zona Sul,Médio,True,450,2024-03-13,True,C2
207,27,1470.64,Zona Leste,Superior,True,386,2024-09-25,True,C3
208,44,4547.45,Zona Oeste,Superior,True,613,2024-02-28,False,B2
209,43,1650.45,Zona Leste,Médio,False,538,2024-08-25,True,C2
210,28,1081.39,Zona Leste,Fundamental,False,460,2024-03-14,False,C2
211,50,1598.1,Zona Oeste,Técnico,True,470,2024-01-28,True,C2
212,32,2601.98,Zona Sul,Médio,False,418,2024-09-04,True,B2
213,50,1732.52,Zona Leste,Médio,True,518,2024-10-08,True,C2
214,43,1703.15,Baixada,Fundamental,False,435,2024-04-19,True,C2
215,48,3136.76,Zona Leste,Técnico,True,459,2024-05-05,True,B2
216,42,4894.69,Zona Norte,Fundamental,False,501,2024-12-19,False,B2
217,31,3191.81,Zona Oeste,Fundamental,True,595,2024-12-21,True,B2
218,33,2493.88,Zona Oeste,Técnico,True,452,2024-05-04,False,C2
219,30,2604.0,Zona Leste,Médio,False,477,2024-09-07,False,B2
220,44,2316.95,Zona Norte,Médio,False,384,2024-04-15,True,C3
221,41,1605.07,Zona Oeste,Médio,False,468,2024-10-25,True,C2
222,32,2427.25,Zona Norte,Fundamental,False,525,2024-02-07,True,C2
223,39,6091.16,Zona Sul,Superior,False,533,2024-01-18,True,A2
224,36,1921.29,Grande ABC,Fundamental,False,524,2024-12-22,True,C2
225,50,2249.03,Zona Norte,Fundamental,False,548,2024-05-26,False,C2
226,39,3658.01,Zona Oeste,Médio,False,488,2024-11-18,False,B2
227,41,3205.12,Zona Norte,Fundamental,True,704,2024-05-10,True,B1
228,33,2746.2,Zona Norte,Técnico,False,460,2024-10-24,False,B2
229,37,2034.88,Grande ABC,Médio,False,513,2024-10-10,True,C2
230,31,2332.78,Zona Norte,Médio,True,538,2024-05-02,True,C2
231,39,1439.42,Zona Sul,Fundamental,True,570,2024-05-22,True,C2
232,53,3260.82,Baixada,Fundamental,True,519,2024-12-28,True,B2
233,41,4060.94,Zona Oeste,Fundamental,True,576,2024-06-07,True,B2
234,45,1881.96,Zona Oeste,Superior,True,488,2024-02-16,False,C2
235,43,3835.93,Zona Sul,Superior,False,426,2024-11-01,False,B2
236,47,1943.21,Grande ABC,Superior,True,641,2024-11-04,False,C2
237,27,1655.36,Zona Leste,Técnico,False,685,2024-12-19,True,C1
238,54,3125.81,Zona Norte,Fundamental,False,557,2024-05-14,False,B2
239,34,2476.07,Zona Norte,Fundamental,True,584,2024-01-08,True,C2
240,28,2633.64,Zona Norte,Médio,False,549,2024-06-03,False,B2
241,45,800.0,Zona Oeste,Médio,False,488,2024-07-18,False,C2
242,35,1650.75,Zona Oeste,Superior,True,578,2024-11-06,True,C2
243,28,2217.96,Zona Leste,Médio,False,621,2024-06-07,False,C2
244,48,4150.43,Zona Oeste,Técnico,True,573,2024-04-06,False,B2
245,37,3294.24,Zona Norte,Superior,False,644,2024-02-10,True,B2
246,32,3246.97,Zona Sul,Superior,False,511,2024-10-19,True,B2
247,41,2996.17,Zona Norte,Médio,False,491,2024-08-13,True,B2
248,54,2567.7,Zona Norte,Fundamental,True,449,2024-01-29,True,B2
249,39,1154.05,Zona Oeste,Fundamental,True,530,2024-10-11,True,C2
250,34,2439.27,Zona Sul,Médio,False,545,2024-10-16,False,C2
251,41,4612.19,Zona Norte,Fundamental,False,544,2024-02-23,True,B2
252,25,4013.43,Zona Leste,Fundamental,True,427,2024-05-19,False,B2
253,30,2224.64,Zona Norte,Médio,True,442,2024-08-24,True,C2
254,33,1196.88,Zona Oeste,Técnico,True,434,2024-05-04,True,C2
255,42,2024.47,Grande ABC,Superior,False,443,2024-01-26,False,C2
256,25,2790.71,Zona Norte,Médio,True,537,2024-03-01,True,B2
257,32,874.93,Zona Oeste,Técnico,False,615,2024-03-26,True,C2
258,42,1569.77,Zona Leste,Superior,False,425,2024-06-23,False,C2
259,36,1892.89,Zona Leste,Médio,False,431,2024-02-08,True,C2
260,51,2534.13,Zona Norte,Fundamental,True,522,2024-01-01,True,B2
261,37,4258.26,Zona Oeste,Médio,False,480,2024-08-25,False,B2
262,40,1604.7,Zona Oeste,Médio,True,508,2024-03-01,True,C2
263,32,4556.26,Zona Leste,Médio,True,514,2024-06-30,True,B2
264,31,1941.8,Zona Oeste,Médio,True,483,2024-03-29,True,C2
265,50,1603.32,Zona Leste,Técnico,False,600,2024-11-10,True,C2
266,45,4716.08,Zona Leste,Médio,True,526,2024-06-25,True,B2
267,35,2742.46,Zona Leste,Fundamental,False,474,2024-01-20,True,B2
268,30,5279.55,Grande ABC,Superior,True,528,2024-11-16,False,A2
269,32,2797.64,Zona Norte,Fundamental,False,491,2024-12-25,False,B2
270,53,2222.63,Zona Sul,Médio,True,551,2024-01-14,True,C2
271,47,4990.6,Zona Oeste,Superior,False,638,2024-09-06,True,B2
272,44,2227.51,Zona Norte,Fundamental,False,564,2024-10-14,True,C2
273,43,4405.67,Grande ABC,Fundamental,True,300,2024-09-14,True,B3
274,42,4855.11,Zona Leste,Superior,True,446,2024-05-08,True,B2
275,51,4282.52,Zona Sul,Médio,False,429,2024-07-27,False,B2
276,40,1225.82,Zona Leste,Fundamental,True,368,2024-10-01,True,C3
277,50,4622.73,Zona Leste,Fundamental,True,533,2024-01-22,True,B2
278,34,3315.2,Grande ABC,Médio,False,575,2024-05-06,False,B2
279,42,3452.86,Zona Sul,Superior,True,513,2024-10-29,True,B2
280,32,3701.66,Grande ABC,Médio,True,393,2024-10-07,True,B3
281,44,3592.06,Zona Oeste,Superior,False,549,2024-11-25,False,B2
282,32,1315.81,Zona Sul,Médio,True,494,2024-10-26,True,C2
283,35,4071.92,Zona Leste,Superior,False,448,2024-08-11,False,B2
284,42,2738.12,Grande ABC,Médio,True,367,2024-12-26,True,B3
285,50,1934.83,Zona Sul,Técnico,True,405,2024-07-30,False,C2
286,54,800.0,Zona Sul,Fundamental,False,585,2024-08-19,True,C2
287,36,4110.63,Zona Leste,Superior,False,517,2024-05-27,True,B2
288,29,3432.67,Grande ABC,Médio,False,593,2024-05-04,True,B2
289,31,4563.31,Zona Sul,Técnico,True,451,2024-12-17,True,B2
290,35,1484.93,Zona Sul,Fundamental,False,535,2024-07-13,True,C2
291,49,813.76,Baixada,Médio,False,545,2024-02-22,True,C2
292,33,3439.88,Zona Leste,Médio,False,394,2024-03-24,True,B3
293,43,917.81,Zona Norte,Médio,False,448,2024-08-04,True,C2
294,44,2311.38,Grande ABC,Fundamental,False,536,2024-02-21,True,C2
295,25,3398.23,Zona Norte,Superior,False,493,2024-02-25,True,B2
296,29,6172.26,Zona Oeste,Médio,False,661,2024-01-25,True,A1
297,39,1756.02,Zona Oeste,Médio,False,456,2024-11-28,True,C2
298,48,1633.89,Zona Norte,Fundamental,True,569,2024-09-03,True,C2
299,31,2300.26,Zona Oeste,Fundamental,False,476,2024-03-09,True,C2
300,42,2035.35,Zona Sul,Médio,True,471,2024-04-14,True,C2
301,43,3526.78,Zona Oeste,Médio,True,377,2024-01-17,False,B3
302,25,1991.33,Zona Leste,Técnico,False,508,2024-10-05,True,C2
303,31,2130.44,Zona Norte,Médio,False,506,2024-01-11,False,C2
304,36,3461.85,Zona Leste,Médio,True,539,2024-04-27,False,B2
305,54,3477.53,Zona Sul,Médio,False,535,2024-09-21,True,B2
306,29,1325.99,Zona Leste,Fundamental,True,458,2024-11-19,False,C2
307,43,2985.54,Zona Sul,Médio,False,446,2024-06-20,True,B2
308,36,4158.71,Zona Leste,Médio,True,584,2024-11-08,False,B2
309,44,1435.58,Zona Leste,Médio,False,507,2024-11-04,True,C2
310,35,4011.39,Zona Leste,Técnico,False,549,2024-04-08,True,B2
311,42,5643.9,Zona Norte,Técnico,False,565,2024-02-12,False,A2
312,39,1209.15,Baixada,Médio,False,522,2024-04-11,False,C2
313,31,1170.86,Zona Oeste,Superior,True,530,2024-12-21,True,C2
314,38,3916.18,Zona Leste,Médio,False,519,2024-06-15,False,B2
315,28,2406.41,Zona Sul,Médio,False,517,2024-05-01,False,C2
316,50,3002.25,Zona Oeste,Médio,False,603,2024-04-21,True,B2
317,52,2070.88,Zona Oeste,Médio,True,564,2024-01-30,True,C2
318,49,3441.01,Zona Norte,Fundamental,True,501,2024-06-17,True,B2
319,26,2141.19,Zona Sul,Médio,False,638,2024-04-09,True,C2
320,37,2727.23,Zona Sul,Técnico,True,503,2024-08-20,False,B2
321,40,4036.13,Zona Norte,Médio,False,540,2024-12-10,True,B2
322,40,2533.46,Zona Leste,Superior,False,564,2024-07-17,False,B2
323,43,1784.74,Zona Oeste,Médio,True,516,2024-01-22,True,C2
324,27,3146.73,Zona Leste,Médio,False,451,2024-10-30,False,B2
325,26,1917.77,Zona Oeste,Superior,False,407,2024-04-25,True,C2
326,50,7585.44,Zona Sul,Médio,False,543,2024-12-21,False,A2
327,43,3778.86,Zona Norte,Superior,False,532,2024-03-29,False,B2
328,52,2907.79,Zona Oeste,Médio,False,507,2024-01-02,True,B2
329,51,6168.49,Baixada,Médio,True,628,2024-08-06,True,A2
330,54,2211.55,Zona Leste,Fundamental,False,510,2024-12-04,False,C2
331,54,2705.13,Baixada,Médio,False,583,2024-03-14,True,B2
332,36,1631.26,Zona Sul,Fundamental,True,575,2024-10-07,True,C2
333,39,2553.97,Grande ABC,Superior,True,549,2024-07-17,True,B2
334,49,3916.91,Zona Norte,Médio,True,541,2024-09-17,False,B2
335,51,2333.17,Zona Norte,Fundamental,False,570,2024-04-04,True,C2
336,37,3921.6,Zona Oeste,Técnico,False,371,2024-01-06,True,B3
337,43,2170.14,Zona Leste,Fundamental,False,599,2024-08-20,False,C2
338,32,3260.02,Zona Sul,Fundamental,True,614,2024-07-19,False,B2
339,47,2827.95,Zona Oeste,Médio,False,504,2024-06-27,True,B2
340,36,1347.22,Grande ABC,Fundamental,False,659,2024-05-25,True,C1
341,52,6219.38,Baixada,Fundamental,False,717,2024-07-05,True,A1
342,31,2802.85,Zona Norte,Técnico,True,691,2024-03-15,True,B1
343,41,4281.76,Zona Norte,Superior,False,624,2024-08-29,True,B2
344,41,1238.56,Zona Sul,Médio,False,620,2024-07-18,True,C2
345,39,2310.12,Zona Leste,Médio,True,489,2024-06-18,True,C2
346,29,2229.83,Zona Sul,Fundamental,False,581,2024-08-23,True,C2
347,37,2263.39,Grande ABC,Superior,False,534,2024-04-15,True,C2
348,54,2242.63,Zona Sul,Médio,False,520,2024-03-12,True,C2
349,49,3333.62,Zona Oeste,Técnico,True,488,2024-11-11,True,B2
350,38,2096.98,Zona Oeste,Médio,True,494,2024-08-15,True,C2
351,40,3317.87,Baixada,Técnico,True,435,2024-04-17,True,B2
352,39,8000.0,Zona Leste,Técnico,False,516,2024-10-04,False,A2
353,47,5154.63,Zona Norte,Técnico,False,305,2024-09-01,True,A3
354,41,2557.78,Zona Norte,Superior,True,570,2024-08-15,False,B2
355,28,1205.09,Zona Norte,Médio,False,487,2024-11-15,False,C2
356,31,3351.5,Zona Norte,Médio,False,546,2024-04-14,True,B2
357,26,2076.02,Baixada,Técnico,False,502,2024-03-13,True,C2
358,42,2936.55,Zona Norte,Médio,False,518,2024-04-12,True,B2
359,32,1353.22,Zona Leste,Técnico,False,605,2024-04-29,False,C2
360,39,2501.71,Zona Leste,Técnico,False,380,2024-05-05,True,B3
361,37,800.0,Zona Sul,Médio,False,413,2024-01-28,False,C2
362,44,6012.29,Zona Norte,Fundamental,False,548,2024-06-17,True,A2
363,54,3687.15,Zona Sul,Médio,False,468,2024-10-28,True,B2
364,37,1753.67,Grande ABC,Médio,False,439,2024-06-02,True,C2
365,41,2200.89,Zona Sul,Fundamental,True,462,2024-06-19,True,C2
366,29,2932.59,Zona Leste,Fundamental,False,562,2024-10-11,False,B2
367,49,3622.72,Zona Oeste,Superior,False,300,2024-05-12,False,B3
368,31,5082.41,Zona Norte,Médio,False,441,2024-10-18,False,A2
369,35,1572.02,Baixada,Médio,False,707,2024-05-24,True,C1
370,28,870.09,Zona Norte,Médio,False,518,2024-06-27,True,C2
371,25,3348.38,Zona Leste,Médio,False,508,2024-01-19,False,B2
372,52,2240.41,Zona Sul,Fundamental,False,552,2024-08-30,False,C2
373,35,4326.88,Grande ABC,Médio,False,618,2024-07-15,True,B2
374,46,5131.53,Zona Leste,Fundamental,True,549,2024-11-26,False,A2
375,40,1199.75,Zona Sul,Médio,False,507,2024-02-24,True,C2
376,52,4059.43,Zona Sul,Técnico,True,575,2024-05-13,True,B2
377,36,3291.43,Zona Oeste,Médio,False,587,2024-04-05,True,B2
378,35,2093.7,Zona Leste,Superior,False,604,2024-02-17,True,C2
